Volume: %1 m³;Volume: %1 m³;%1 m³
Attechment: %1;Attechment: %1;Beilagen: %1
Shipping Address;Shipping Address;Lieferadresse
Invoice Address;Invoice Address;Rechnungsadresse
Our Vat-No.;Our Vat-No.;Unsere MwSt. Nr.
Your VAT-No.;Your VAT-No.;Ihre MwSt. Nr.
Our No.;Our No.;Unsere Nr.
Vendor No:;Vendor No:;Lieferanten Nr.
Order date:;Order date:;Bestelldatum:
Your Order Reference;Your Order Reference;Ihre Bestellreferenz
Your Phone No.;Your Phone No.;Ihre Tel Nr.
Your Fax No.;Your Fax No.;Ihre Fax Nr.
Our Reference:;Our Reference:;Unsere Referenz:
Request Date;Request Date;Anfragedatum
Our Prod.-Order-No.;Our Prod.-Order-No.;Unsere FA Nr.
Our general conditions of sale and delivery dated March 2005 are valid, which can be found of www.elfo.ch.;Our general conditions of sale and delivery dated March 2005 are valid, which can be found of www.elfo.ch.;Es gelten unsere allg. Verkaufs- und Lieferbedingungen vom März 2005, zu finden unter www.elfo.ch. 
Our general conditions of sale and delivery dated March 2005 are valid, which can be found on our homepage.;Our general conditions of sale and delivery dated March 2005 are valid, which can be found on our homepage.;Es gelten unsere allg. Verkaufs- und Lieferbedingungen vom März 2005, welche Sie auf unserer Homepage finden. 
%1, %2-%3 %4  /  Account-No.: %5;%1, %2-%3 %4  /  Account-No.: %5;%1, %2-%3 %4  /  Kontonr.: %5
SWIFT: %1  /  IBAN: %2;SWIFT: %1  /  IBAN: %2;SWIFT: %1  /  IBAN: %2
%1  /  INCOTERMS 2010;%1  /  INCOTERMS 2010;%1  /  INCOTERMS 2010
%1  /  %2  /  INCOTERMS 2010;%1  /  %2  /  INCOTERMS 2010;%1  /  %2  /  INCOTERMS 2010
Dimension;Dimension;Dimension
gross weight;gross weight;Bruttogewicht
net weight;net weight;Nettogewicht
volume;volume;Volumen
%1 m³;%1 m³;%1 m³
Customer;Customer;Kundennr.
Your Order from;Your Order from;Ihre Bestellung vom 
for customs purpose only !!!;for customs purpose only !!!;nur für Zollzwecke !!!
%1 - Period: %2 bis %3;%1 - Period: %2 bis %3;%1 - Laufzeit: %2 bis %3
%1 - available from %2;%1 - available from %2;%1 - abrufbereit ab %2
%1 - valid until %2;%1 - valid until %2;%1 - gültig bis %2
Call-Off from %1;Call-Off from %1;Abruf aus %1
(Copy);(Copy);(Kopie)
printed on %1 / Page %2;printed on %1 / Page %2;gedruckt per %1 / Seite %2
"Es gibt eine ""Alternative Adresse"".\\Soll der Ausdruck an diese Adresse erstellt werden?.";"Es gibt eine ""Alternative Adresse"".\\Soll der Ausdruck an diese Adresse erstellt werden?.";"Es gibt eine ""Alternative Adresse"".\\Soll der Ausdruck an diese Adresse erstellt werden?."
Total;Total;Total
GetUnplannedDemand_GetUnplannedItem;GetUnplannedDemand_GetUnplannedItem;[NAB: NOT TRANSLATED]
GetUnplannedDemand_InsertItem;GetUnplannedDemand_InsertItem;[NAB: NOT TRANSLATED]
CalcAvailability;CalcAvailability;[NAB: NOT TRANSLATED]
ItemCommentExists;ItemCommentExists;[NAB: NOT TRANSLATED]
ShowItemComment;ShowItemComment;[NAB: NOT TRANSLATED]
LookupItem;LookupItem;[NAB: NOT TRANSLATED]
ExistsItemCurrComment;ExistsItemCurrComment;[NAB: NOT TRANSLATED]
LookupItemCurrComment;LookupItemCurrComment;[NAB: NOT TRANSLATED]
ShowItemCurrComment;ShowItemCurrComment;[NAB: NOT TRANSLATED]
The Ship-to Address has been changed.;The Ship-to Address has been changed.;Die Lieferadresse wurde geändert.
CalculateProdOrder_CalculateRtngSamplingTime;CalculateProdOrder_CalculateRtngSamplingTime;[NAB: NOT TRANSLATED]
CalculateRoutingLine_ReturnForwardCalendar;CalculateRoutingLine_ReturnForwardCalendar;[NAB: NOT TRANSLATED]
CreateProdOrderLines_Copy_WZB.x;CreateProdOrderLines_Copy_WZB.x;[NAB: NOT TRANSLATED]
CreateProdOrderLines_Copy_WZB;CreateProdOrderLines_Copy_WZB;[NAB: NOT TRANSLATED]
Die FA berechnen ist nicht möglich, es sind bereits Buchungen auf allen Produktionsstufen vorhanden.;Die FA berechnen ist nicht möglich, es sind bereits Buchungen auf allen Produktionsstufen vorhanden.;Die FA berechnen ist nicht möglich, es sind bereits Buchungen auf allen Produktionsstufen vorhanden.
"Der FA ist berechnet!\Eventuelle Strukturänderungen sind nach ""Artikel-Nr. %1"" integriert.";"Der FA ist berechnet!\Eventuelle Strukturänderungen sind nach ""Artikel-Nr. %1"" integriert.";"Der FA ist berechnet!\Eventuelle Strukturänderungen sind nach ""Artikel-Nr. %1"" integriert."
This tool is used in this period;This tool is used in this period;Dieses Werkzeug wird in dieser Periode genutzt
This tool is locked in this period;This tool is locked in this period;Dieses Werkzeug ist gesperrt in dieser Periode
ChangeLotNo;ChangeLotNo;[NAB: NOT TRANSLATED]
FinishProdOrder;FinishProdOrder;[NAB: NOT TRANSLATED]
Do you want to post the Receive?;Do you want to post the Receive?;Möchten Sie den Waren-Eingang buchen?
must not be less than %1;must not be less than %1;darf nicht weniger als %1 sein
PurchasesInfoPaneManagement_LookupCurrVendComment;PurchasesInfoPaneManagement_LookupCurrVendComment;[NAB: NOT TRANSLATED]
PurchasesInfoPaneManagement_ExistsVendCurrComment;PurchasesInfoPaneManagement_ExistsVendCurrComment;[NAB: NOT TRANSLATED]
PurchasesInfoPaneManagement_ShowVendComment;PurchasesInfoPaneManagement_ShowVendComment;[NAB: NOT TRANSLATED]
PurchasesInfoPaneManagement_AutoLookupItemCurrComment;PurchasesInfoPaneManagement_AutoLookupItemCurrComment;[NAB: NOT TRANSLATED]
PurchasesInfoPaneManagement_ExistsItemCurrComment;PurchasesInfoPaneManagement_ExistsItemCurrComment;[NAB: NOT TRANSLATED]
PurchasesInfoPaneManagement_ShowItemCurrComment;PurchasesInfoPaneManagement_ShowItemCurrComment;[NAB: NOT TRANSLATED]
PurchasesInfoPaneManagement_LookupItem;PurchasesInfoPaneManagement_LookupItem;[NAB: NOT TRANSLATED]
PurchHeader_SetPosting;PurchHeader_SetPosting;[NAB: NOT TRANSLATED]
PurchHeader_ResetPosting;PurchHeader_ResetPosting;[NAB: NOT TRANSLATED]
PurchHeader_FindPurchLines;PurchHeader_FindPurchLines;[NAB: NOT TRANSLATED]
PurchHeader_FindPurchItemLines;PurchHeader_FindPurchItemLines;[NAB: NOT TRANSLATED]
BIFOReportFunctions_OnAfterFillPurchaseFooterArray;BIFOReportFunctions_OnAfterFillPurchaseFooterArray;[NAB: NOT TRANSLATED]
Montag bis Freitag von 07:00 - 11:30 / 13:15 - 16:30;Montag bis Freitag von 07:00 - 11:30 / 13:15 - 16:30;Montag bis Freitag von 07:00 - 11:30 / 13:15 - 16:30
Jede Verpackungseinheit ist mit unserer Artikelnummer, Bezeichnung und Menge zu versehen.;Jede Verpackungseinheit ist mit unserer Artikelnummer, Bezeichnung und Menge zu versehen.;[NAB: REVIEW]Jede Verpackungseinheit ist mit unserer Artikelnummer, Bezeichnung und Menge zu verstehen
FillCompanyInfoHeader;FillCompanyInfoHeader;[NAB: NOT TRANSLATED]
GetPackText;GetPackText;[NAB: NOT TRANSLATED]
FillSalesFooterArray;FillSalesFooterArray;[NAB: NOT TRANSLATED]
FillSalesDocumentInfoHeader;FillSalesDocumentInfoHeader;[NAB: NOT TRANSLATED]
UpdateTempSalesLines;UpdateTempSalesLines;[NAB: NOT TRANSLATED]
InsertCommentIntoSalesLine;InsertCommentIntoSalesLine;[NAB: NOT TRANSLATED]
FindSalesLines;FindSalesLines;[NAB: NOT TRANSLATED]
FindSalesItemLines;FindSalesItemLines;[NAB: NOT TRANSLATED]
AppendText;AppendText;[NAB: NOT TRANSLATED]
ArrayDiff;ArrayDiff;[NAB: NOT TRANSLATED]
MLOurVatNo;MLOurVatNo;Unsere MWST-Nr.
MLYourVatNo;MLYourVatNo;Ihre MWST-Nr.
MLOurNo;MLOurNo;Unsere Nr.
MLCustNo;MLCustNo;Kundennr.
MLVendNo;MLVendNo;Lieferantennr.
MLYourOrder;MLYourOrder;Ihre Referenz
MLReference;MLReference;Referenz
MLProForma;MLProForma;Proforma
MLBlankOrdPerio;MLBlankOrdPerio;Zeitraum
MLBlankOrdFrom;MLBlankOrdFrom;Von
MLBlankOrdUntil;MLBlankOrdUntil;Bis
MLBlankOrdCalOf;MLBlankOrdCalOf;[NAB: NOT TRANSLATED]
MLCopy;MLCopy;Kopie
MLShipAddr;MLShipAddr;Lieferadresse
MLInvoAddr;MLInvoAddr;Rechnungsadresse
%1, %2-%3 %4  /  Kontonr.: %5;%1, %2-%3 %4  /  Kontonr.: %5;%1, %2-%3 %4  /  Kontonr.: %5
%1  / INCOTERMS 2010;%1  / INCOTERMS 2010;%1  / INCOTERMS 2010
%1  /  %2  /  %3  /  INCOTERMS 2010;%1  /  %2  /  %3  /  INCOTERMS 2010;%1  /  %2  /  %3  /  INCOTERMS 2010
Table %1 is not temporary. Contact your software partner.;Table %1 is not temporary. Contact your software partner.;Tabelle %2 muss temporär definiert sein, kontaktieren Sie Ihren Softwarepartner.
SalesHeader_FindSalesLines;SalesHeader_FindSalesLines;[NAB: NOT TRANSLATED]
SalesHeader_FindItemLines;SalesHeader_FindItemLines;[NAB: NOT TRANSLATED]
SalesHeader_FindItemQtyLines;SalesHeader_FindItemQtyLines;[NAB: NOT TRANSLATED]
SalesHeader_FindItemQtyToShipLines;SalesHeader_FindItemQtyToShipLines;[NAB: NOT TRANSLATED]
SalesLine_IsValidQuantityItemLine;SalesLine_IsValidQuantityItemLine;[NAB: NOT TRANSLATED]
SalesLine_IsValidItemLine;SalesLine_IsValidItemLine;[NAB: NOT TRANSLATED]
SalesInfoPaneManagement_LookupCurrCustComment;SalesInfoPaneManagement_LookupCurrCustComment;[NAB: NOT TRANSLATED]
SalesInfoPaneManagement_ExistsCustCurrComment;SalesInfoPaneManagement_ExistsCustCurrComment;[NAB: NOT TRANSLATED]
SalesInfoPaneManagement_ShowCustComment;SalesInfoPaneManagement_ShowCustComment;[NAB: NOT TRANSLATED]
SalesInfoPaneManagement_LookupItemCurrComment;SalesInfoPaneManagement_LookupItemCurrComment;[NAB: NOT TRANSLATED]
SalesInfoPaneManagement_ExistsItemCurrComment;SalesInfoPaneManagement_ExistsItemCurrComment;[NAB: NOT TRANSLATED]
SalesInfoPaneManagement_ShowItemCurrComment;SalesInfoPaneManagement_ShowItemCurrComment;[NAB: NOT TRANSLATED]
SalesPostYesNo_SetSampleDelif;SalesPostYesNo_SetSampleDelif;[NAB: NOT TRANSLATED]
Do you want to post the %1?;Do you want to post the %1?;Möchten Sie die %1 buchen?
The Invoice has not been printed yet. \\Post anyway?;The Invoice has not been printed yet. \\Post anyway?;Die Rechnung wurde noch nicht gedruckt. \\Trotzdem buchen ?
Sind Sie sicher, dass Sie die Vendor Bank Account Einträge transferieren wollen?;Sind Sie sicher, dass Sie die Vendor Bank Account Einträge transferieren wollen?;Sind Sie sicher, dass Sie die Vendor Bank Account Einträge transferieren wollen?
SaveTableDataToStore;SaveTableDataToStore;[NAB: NOT TRANSLATED]
RestoreTableDataFromStore;RestoreTableDataFromStore;[NAB: NOT TRANSLATED]
SaveOneField;SaveOneField;[NAB: NOT TRANSLATED]
Blanket Purchase Orders (Elfo);Blanket Purchase Orders (Elfo);Rahmenbestellungen (Elfo)
Show Document;Show Document;Beleg anzeigen
Bundle by Location;Bundle by Location;Gebindeübersicht nach Lagerort
Options;Options;Optionen
&Item;&Item;Art&ikel
&Card;&Card;&Karte
&Item Availability by;&Item Availability by;Artikelverfü&gbarkeit nach
&Item Inventory;&Item Inventory;Artikel&bestand
&Units of Measure;&Units of Measure;&Einheiten
Co&mments;Co&mments;Be&merkungen
E&ntries;E&ntries;Poste&n
&Phys. Inventory Ledger Entries;&Phys. Inventory Ledger Entries;&Inventurposten
&Reservation Entries;&Reservation Entries;&Reservierungsposten
&Value Entries;&Value Entries;&Wertposten
Ledger E&ntries;Ledger E&ntries;[NAB: NOT TRANSLATED]
E&xtended Texts;E&xtended Texts;&Zusatztexte
Item Acc Sheet;Item Acc Sheet;Stammblatt
Items b&y Location;Items b&y Location;&Artikel nach Lagerort
Manufa&cturing;Manufa&cturing;Ferti&gung
Production BOM;Production BOM;Fertigungsstückliste
Routing;Routing;Arbeitsplan
Where-Used;Where-Used;Verwendung
Packinginstruction;Packinginstruction;&Verpackungsvorschrift
Separator1100111037;Separator1100111037;Separator1100111037
Separator1100111042;Separator1100111042;[NAB: NOT TRANSLATED]
Separator1100111047;Separator1100111047;[NAB: NOT TRANSLATED]
Separator1100111049;Separator1100111049;[NAB: NOT TRANSLATED]
Separator1100111051;Separator1100111051;[NAB: NOT TRANSLATED]
Statistics;Statistics;Statistik
Entry Statistics;Entry Statistics;Buchungsstatistik
T&urnover;T&urnover;&Umsatz
Translations;Translations;Übe&rsetzungen
Bundle by Location lines;Bundle by Location lines;Gebindeübersicht nach Lagerort detail
Anzahl Gebinde;Anzahl Gebinde;Anzahl Gebinde
Bundle Item Journal;Bundle Item Journal;Gebinde Erf.-Journal
You cannot use entry type %1 in this journal.;You cannot use entry type %1 in this journal.;Sie können die Postenart %1 in diesem Erf.-Journal nicht verwenden.
Item Journal lines have been successfully inserted from Standard Item Journal %1.;Item Journal lines have been successfully inserted from Standard Item Journal %1.;Artikel Buchzeilen wurden erfolgreich aus Standard-Artikelbuch '%1' importiert.
Standard Item Journal %1 has been successfully created.;Standard Item Journal %1 has been successfully created.;Das Standard-Artikel Buch '%1' wurde erfolgreich erstellt.
Bundlelist;Bundlelist;Gebindeliste
Lables;Lables;Etiketten
Customers;Customers;Kunden
Standard;Standard;Standard
Lager Menge;Lager Menge;Lager Menge
WE Menge;WE Menge;WE Menge
Print;Print;Drucken
All Lables;All Lables;Alle Etiketten
Single Lable;Single Lable;Einzel Etikette
Post Bundleoutput;Post Bundleoutput;Gebinde fertigmelden
Sie haben die erfassten Gebinde noch nicht gebucht. Wollen Sie nun buchen? ;Sie haben die erfassten Gebinde noch nicht gebucht. Wollen Sie nun buchen? ;Sie haben die erfassten Gebinde noch nicht gebucht. Wollen Sie nun buchen? 
Anfahrteile/Musterteile;Anfahrteile/Musterteile;Anfahrteile/Musterteile
Make Bundle-Lable;Make Bundle-Lable;Gebinde-Etiketten erstellen
T&ranslation;T&ranslation;Übe&rsetzung
Customer Card;Customer Card;Debitorenkarte
Comment List;Comment List;Bemerkungsliste
Specifies a code for the comment.;Specifies a code for the comment.;Gibt einen Code für die Bemerkung an.
Specifies the actual comment.;Specifies the actual comment.;Gibt die eigentliche Bemerkung an.
Specifies the date when the comment was created.;Specifies the date when the comment was created.;Gibt das Datum an, an dem die Bemerkung erstellt wurde.
Comment Sheet;Comment Sheet;Bemerkungen
Elfo Post Migration Tools;Elfo Post Migration Tools;Elfo Post Migrations Tool
ItemsToDelete;ItemsToDelete;Zu löschende Artikel
ItemsWithLotNo;ItemsWithLotNo;Artikel mit Chargen Nr.
CheckBlobs;CheckBlobs;Blobs überprüfen
RemoveItemTrackingCodes;RemoveItemTrackingCodes;Nachverfolgungscode entfernen
RemoveNegativeInventoryLines;RemoveNegativeInventoryLines;Negative Lagereinträge löschen
SetItemTrackingCode;SetItemTrackingCode;Nachverfolgungscode setzen
Revision Activities;Revision Activities;Revisionen
;;
Sizing;Sizing;Masse
Specifies the No. Series for the Production BOM Import;Specifies the No. Series for the Production BOM Import;Gibt den Code der Nummernserie an, welche für den Fertigungsstücklisten Import verwendet wird
Run Data Migration Jobs;Run Data Migration Jobs;Datenmigrations Job ausführen
Transfer and remove fields on customer, item etc.;Transfer and remove fields on customer, item etc.;Felder übertragen und entfernen von Debitoren, Artikel, etc.
Run Setup Job;Run Setup Job;Einrichtungsjob ausführen
Form BOM Lines;Form BOM Lines;Stücklistenzeilen
Input Dialog;Input Dialog;Eingabedialog
Please call function Initialize first;Please call function Initialize first;"Die Funktion ""Initialize"" sollte zuerst aufgerufen werden."
Customer References;Customer References;Debitoren Referenzen
Open List;Open List;Liste öffnen
Item Availability by Location;Item Availability by Location;Artikelverfügbarkeit nach Ort
Specifies the inventory level of an item.;Specifies the inventory level of an item.;Gibt die Lagerebene für einen Artikel an.
Specifies a location code for the warehouse or distribution center where your items are handled and stored before being sold.;Specifies a location code for the warehouse or distribution center where your items are handled and stored before being sold.;Gibt einen Lagerortcode für das Lager oder Verteilungszentrum an, in dem Ihre Artikel vor dem Verkauf behandelt und gelagert werden.
Specifies the name or address of the location.;Specifies the name or address of the location.;Gibt den Namen oder die Adresse des Lagers an.
Item Net Changes;Item Net Changes;Artikel Bewegungen
Calculationfilter;Calculationfilter;Kalkulationsfilter
Purchases;Purchases;Einkauf
herof in Quarantine;herof in Quarantine;davon auf Sperrlager
Positive Adjmt.;Positive Adjmt.;Zugang
Negative Adjmt.;Negative Adjmt.;Abgang
Transfer;Transfer;Umlagerung
Consumption (Qty.);Consumption (Qty.);Verbrauch
Qty / UoM;Qty / UoM;Menge / Einheit
Inventory Price;Inventory Price;Inventur Preis
Base Net Change;Base Net Change;Basis Bewegung
Sales Unit of Measure;Sales Unit of Measure;Verkaufs Einheit
Item Ledger Entries;Item Ledger Entries;Lagerposten - Einkauf
Stückpreis;Stückpreis;Stückpreis
Find all entries and documents that exist for the document number and posting date on the selected entry or document.;Find all entries and documents that exist for the document number and posting date on the selected entry or document.;Sucht alle Posten und Belege, die für die Belegnummer und das Buchungsdatum auf dem ausgewählten Posten oder Beleg vorhanden sind.
&Navigate;&Navigate;&Navigate
Application;Application;Ausgleich
View item applications that are automatically created between item ledger entries during item transactions.;View item applications that are automatically created between item ledger entries during item transactions.;Zeigen Sie Artikelausgleiche an, die automatisch zwischen Lagerposten während Artikeltransaktionen erstellt werden.
Application Worksheet;Application Worksheet;Ausgleichsvorschlag
Applied Entries;Applied Entries;Ausgeglichene Posten
Reservation Entries;Reservation Entries;Reservierungsposten
Entry;Entry;Posten
View or edit dimensions, such as area, project, or department, that you can assign to sales and purchase documents to distribute costs and analyze transaction history.;View or edit dimensions, such as area, project, or department, that you can assign to sales and purchase documents to distribute costs and analyze transaction history.;Zeigt Dimensionen an oder bearbeitet Dimensionen, wie etwa eines Bereichs, eines Projekts oder einer Abteilung, die Sie Verkaufs- oder Einkaufsbelegen zuweisen können, um die Kosten zu verteilen und den Transaktionsverlauf zu analysieren.
Dimensions;Dimensions;Dimensionen
Value Entries;Value Entries;Wertposten
Functions;Functions;Funktion
Tracks the connection of a supply to its corresponding demand. This can help you find the original demand that created a specific production order or purchase order.;Tracks the connection of a supply to its corresponding demand. This can help you find the original demand that created a specific production order or purchase order.;Verfolgt die Verbindung eines Vorrats zum entsprechenden Bedarf. So können Sie den ursprünglichen Bedarf finden, anhand dessen ein spezifischer Fertigungsauftrag oder eine Bestellung erstellt wurde.
Order &Tracking;Order &Tracking;&Bedarfsverursacher
Rejects;Rejects;Ausschuss
&Application;&Application;A&usgleich
View the ledger entries that have been applied to this record.;View the ledger entries that have been applied to this record.;Zeigt die Posten an, die auf diesen Datensatz angewendet wurden.
Applied E&ntries;Applied E&ntries;&Ausgeglichene Posten
View the entries for every reservation that is made, either manually or automatically.;View the entries for every reservation that is made, either manually or automatically.;Zeigen Sie die Posten für jede manuell oder automatisch durchgeführte Reservierung an.
Ent&ry;Ent&ry;&Posten
View the history of posted amounts that affect the value of the item. Value entries are created for every transaction with the item.;View the history of posted amounts that affect the value of the item. Value entries are created for every transaction with the item.;Zeigt die Historie der gebuchten Beträge an, die den Wert des Artikels beeinflussen. Wertposten werden für jede Transaktionen des Artikels erstellt.
F&unctions;F&unctions;F&unktionen
Job Item;Job Item;Projektartikel
MakeBarcodeToFile;MakeBarcodeToFile;Barcode zu Datei
Migration Center;Migration Center;Migrations Center
Documents;Documents;Belege
Locations;Locations;Lagerorte
HL Bins loaded;HL Bins loaded;Geladene Lagerplätze HL
Loaded Locations;Loaded Locations;Geladene Lagerorte
SL Bins loaded;SL Bins loaded;Geladene Lagerplätze SL
Delete HL Bins;Delete HL Bins;HL Lagerplätze löschen
Delete Locations;Delete Locations;Lagerorte löschen
